date,sleep_score,sleep_total_min,hr_night_avg,steps_total,active_kcal,sleep_deep_min,sleep_rem_min,sleep_awakenings,data_era,day_of_week,month
2019-04-04,57.37,512.9833333333333,72.925,8576.0,1866.0,0.0,0.0,0.0,0,3,4
2019-04-05,26.79,623.9833333333333,74.8125,8893.0,2013.0,0.0,0.0,0.0,0,4,4
2019-04-06,38.67,578.9833333333333,74.39166666666667,8411.0,2016.0,0.0,0.0,0.0,0,5,4
2019-04-07,62.1,490.98333333333335,73.4375,19207.0,1221.0,0.0,0.0,0.0,0,6,4
2019-04-08,59.09,505.98333333333335,72.94166666666666,10566.0,2273.0,0.0,0.0,0.0,0,0,4
2019-04-09,60.75,480.98333333333335,76.0,10632.0,2479.0,0.0,0.0,0.0,0,1,4
2019-04-10,54.01,522.9833333333333,73.49583333333334,9362.0,1678.0,0.0,0.0,0.0,0,2,4
2019-04-11,51.21,535.9833333333333,73.19583333333334,10812.0,1850.0,0.0,0.0,0.0,0,3,4
2019-04-12,47.43,547.9833333333333,73.71666666666667,19651.0,2100.0,0.0,0.0,0.0,0,4,4
2019-04-13,15.85,657.9833333333333,76.43333333333334,941.0,1140.0,0.0,0.0,0.0,0,5,4
2019-04-14,59.8,500.98333333333335,73.30416666666666,1600.0,776.0,0.0,0.0,0.0,0,6,4
2019-04-15,54.05,512.9833333333333,75.1375,12312.0,2739.0,0.0,0.0,0.0,0,0,4
2019-04-16,54.51,503.98333333333335,76.32916666666667,10173.0,2183.0,0.0,0.0,0.0,0,1,4
2019-04-17,21.9,640.9833333333333,75.23333333333333,7522.0,1365.0,0.0,0.0,0.0,0,2,4
2019-04-18,41.97,573.9833333333333,73.02083333333333,6136.0,1353.0,0.0,0.0,0.0,0,3,4
2019-04-20,35.55,591.9833333333333,74.3,2824.0,1104.0,0.0,0.0,0.0,0,5,4
2019-04-21,38.21,577.9833333333333,74.8625,12072.0,1855.0,0.0,0.0,0.0,0,6,4
2019-04-22,50.13,528.9833333333333,75.08333333333333,4183.0,1919.0,0.0,0.0,0.0,0,0,4
2019-04-23,38.1,549.9833333333333,79.6,10001.0,2866.0,0.0,0.0,0.0,0,1,4
2019-04-24,44.81,538.9833333333333,76.9625,10894.0,2328.0,0.0,0.0,0.0,0,2,4
2019-04-25,46.44,522.9833333333333,78.54166666666667,9505.0,2244.0,0.0,0.0,0.0,0,3,4
2019-04-26,22.35,627.9833333333333,77.10416666666667,8845.0,1608.0,0.0,0.0,0.0,0,4,4
2019-04-27,42.89,552.9833333333333,75.90833333333333,11546.0,1334.0,0.0,0.0,0.0,0,5,4
2019-04-28,49.95,527.9833333333333,75.37083333333334,16656.0,1482.0,0.0,0.0,0.0,0,6,4
2019-04-29,51.5,535.9833333333333,73.00416666666666,8160.0,1944.0,0.0,0.0,0.0,0,0,4
2019-04-30,44.37,567.9833333333333,72.425,10006.0,2098.0,0.0,0.0,0.0,0,1,4
